Post ID,Post creation date,Post message,Post type,Post impressions,Post organic reach,% of reach from paid,% of reach from organic,Post reach,Shares on posts,Total post reactions,Post photo views,Video views,Comments on posts,Shares on shares,Organic video views,Post link clicks,RowHash
108778868994125_122177073290027157,2024-06-01,"When I was a kid and my parents got divorced, I witnessed my Mum transformed... She became dedicated to self-care, self-development and healing herself... I watched her get a job, find herself, meet her own needs and thrive as a parent and human... There were definitely hard times, lots of tears and I was hurting over my parents divorce ... But one of the best gifts my parents divorce gave me, was seeing my mum thrive into the person she is today, and teach me about self-care, self-love, boundaries and what healthy relationship looks like. To all of the separated Mum's out there, remember that your strength and the lessons you teach your children through your divorce, can far outweigh the negatives! Keep going! You've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,45,44,0,100,44,0,1,0,0,0,0,0,0,f088463e04aa07a3ad9faa101d2a7aa285ba337b95ba88fe1b88f03a38ffd445
108778868994125_122176878410027157,2024-05-31,"Let your divorce be something that eventually transforms you, and in turn transforms your children. 

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",photo,37,36,0,100,36,0,1,0,0,0,0,0,0,61de9aa89eb54b6e150aebe7bf8145995d20940b193eed80a6999829274cdc86
108778868994125_122176579604027157,2024-05-29,"Mums see their child's difficulty surrounding their divorce as a reflection on themselves.
It speaks to their inner belief of: ‘I am not enough

#mumanxiety #mumguilt #mumguiltisreal",photo,32,31,0,100,31,0,1,0,0,0,0,0,0,f63964192191ddea274c072015a1de047e85ad3024b03b94504559829832d6e5
108778868994125_122176273010027157,2024-05-27,"""Picture this: Your child in 20 years time, happy, secure and thriving, all because of how you supported them through your divorce.

You've got this, mama!""

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,34,32,0,100,32,0,0,0,0,0,0,0,0,d6da055fe26cc8d20e1634fa7b101c0ef1f97ea8ea89e86aae63e2689d2199a9
108778868994125_122176094540027157,2024-05-26,"I don't know how to co-parent with him because he is so triggering to me & is such a different person now.
It feels awful & overwhelming just thinking about it.
Co-parenting with the person you're healing from is hard. Especially because that person has most likely changed so much from who you once loved. It makes it even more overwhelming if:

*   he is high conflict & mean
*   if there is a new girlfriend in the picture
*   if you're going through court stuff-custody, money, etc

Stop the overwhelm by focusing on what you can control.
This will leave more emotional energy for you and your child, which is what really matters. 
You've got this!

#divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",album,65,62,0,100,62,0,0,3,0,2,0,0,0,5eeb30b238586fd62a6b1eb9b3a796438a5a583310f29fb4a9bd036dece6ffba
108778868994125_122175926486027157,2024-05-25,"During my divorce, I lay awake at night full of anxiety over how it was going to affect my children... I was so desperate to make things okay for them, to make all of the uncertainty and upset go away for them ... I am now a therapist and have taken everything I have learnt and put it together for mums just like you... Download my FREE coaching guide to get expert advice on giving your children what they need to thrive during divorce. Comment ‘guide’ for the link.

#mumanxiety #mumguilt #mumguiltisreal",multi_share,20,19,0,100,19,0,1,0,0,0,0,0,0,3d72d14f4f0e26241338ba870a36c905016907ed84f4015059cfeefe226cb8ec
108778868994125_122175762194027157,2024-05-24,"The best thing you can do to get your kids through your divorce is process your sadness in a healthy way.
Comment 'Guide' for my free workbook on how to do this.

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",photo,33,32,0,100,32,0,0,0,0,0,0,0,0,7c2c16502ce5a7db25d49c65b237d92228956cc181688f33deaace9dc093bcd6
108778868994125_122175375608027157,2024-05-22,"A recent study revealed that 94% of mothers feel expected to put themselves last and self-sacrifice.
This becomes even more apparent during divorce.

#mumanxiety #mumguilt #mumguiltisreal",photo,36,36,0,100,36,0,0,1,0,0,0,0,0,8db67345f68af6059ee3122c2d3bb542206160ecaf14bf70d40e2ff9ffab9ca6
108778868994125_122174986988027157,2024-05-20,"I don’t know who needs to hear this but divorce doesn’t have to be the end of your child’s happy childhood, it can be the beginning of it…

From one separated mum to another, you’ve got this 💖💪

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,50,49,0,100,49,0,1,0,0,0,0,0,0,094cdf8abc14397834606734c901f2aa32f4617e3de91da52b8a47999b55e9dd
108778868994125_122174786972027157,2024-05-19,"Tag a divorced mum to tell her she is doing an amazing job!

From one separated mum to another, you’ve got this 💖💪

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,27,27,0,100,27,0,0,0,0,0,0,0,0,42eccff0288cca8af2841eb780f022cf771b91b54243443bc5f7203712a90bf6
108778868994125_122174639666027157,2024-05-18,"It can be really hard when our kids start to talk about our divorce to their friends...
It means other parents might know about our divorce before we are ready...
This can bring up huge feelings of not being a good enough mum, shame and failure...
If you are in this camp, I have been there...
It gets easier and this is not your story, it is just part of your story.
You've got this!

#divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",album,54,54,0,100,54,0,0,2,0,0,0,0,0,c6851950d8994e13752a21f85faa66bb5631a36d74ad2740c79858bd25729835
108778868994125_122174042954027157,2024-05-15,"Reminder:
No matter what your marital status is, a loving, present parent is what your children really need to thrive!

From one separated mum to another, you’ve got this 💖💪

#mumanxiety #mumguilt #mumguiltisreal",photo,31,31,0,100,31,0,1,0,0,0,0,0,0,e1bfe16618b8520d1a149f63d09bbe0936c90892701b6d94b244355c7f2906bc
108778868994125_122173670096027157,2024-05-13,"My kids left for their Dad's house today.
If you feel that deep sadness when your kids leave, I am right there with you.

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,48,48,0,100,48,0,1,0,0,0,0,0,0,281cf592815603ec7972734bea19c01c8931fcfa1661df6cd7b14e0baf3c25b9
108778868994125_122173516100027157,2024-05-12,"8 reminders you need to hear today as a divorced mum:
1. Life is too short to let loneliness drive you back to toxic people
2. Sometimes what didn't work out for you really worked out for you
3. Life is to be lived - not controlled
4. Change is scary, but so is staying the same
5. Some people judge you for changing, other people celebrate you for growing - choose your circle wisely
6. Love yourself instead of loving the idea of other people loving you
7. Just because it's taking time doesn't mean it's not happening
8. Your whole life can change in one year, make this the one

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,69,68,0,100,68,0,1,4,0,0,0,0,0,f11ead298db6b38b1b344da6c37f5a535dc2401d115001641ec75e917afa961f
108778868994125_122173324670027157,2024-05-11,"To the separated mum who woke up lonely this morning without her children ...
I see your heartbreak…
I know your pain…
I promise it gets easier, and this is how…
Comment ‘GUIDE’ to download my free guide to processing your grief so that you and your children can thrive. 

From one separated mum to another, you’ve got this 💖💪

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",multi_share,24,24,0,100,24,0,0,0,0,0,0,0,0,1bd76a41a13cdc3f06a32167b8f2464f6459775d482a327d73f4580dfa6e4528
108778868994125_122173149950027157,2024-05-10,"Please never forget
How brave it is
To continue to show up
In a story that looks so
Different to the one you imagined for you and your kids.

From one separated mum to another, you’ve got this 💖💪

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,24,24,0,100,24,0,1,0,0,0,0,0,0,9b83ff875d8cc59928c59832845d00f920de85c31dfe4cf819f39861218e61ba
108778868994125_122172810470027157,2024-05-08,"When I divorced I constantly worried about how it was going to affect my kids, the guilt, pain and anxiety can feel relentless.

From one separated mum to another, you’ve got this 💖💪

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,40,40,0,100,40,0,0,0,0,0,0,0,0,9e883d637eb73015652203e624cd0075d36a0172e3d2cb4d25ebc6424d9c5edd
108778868994125_122172418166027157,2024-05-06,"My kids left for their Dad's house today.
If you feel that deep sadness when your kids leave, I am right there with you.

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,50,50,0,100,50,0,1,1,0,0,0,0,0,4c100996b6c96c650072730c0e906d6ac72dc384c27cc7bf3e6f26b119e5829a
108778868994125_122172260060027157,2024-05-05,"Alone.
The truth about being a single mum.
Being along, especially when our children aren't with us can fill us with so much grief.
Sometimes this can feel overwhelming and we don't know how we will make it through.
Download my free guide to proccessing your grief by commenting ""Guide' below.

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,28,27,0,100,27,0,0,0,0,0,0,0,0,63648095a57d62c68298130f42dcdb29ee311e3e6760fed9d493c4ef5845e591
108778868994125_122172024134027157,2024-05-04,"Tears ran down my face as I dropped my son off to his dad, leaving as he cried... 
There has to be another way than this I felt... 
As a therapist, I worked hard to find that other way, a way that helped my son be happy and feel secure...
And now I have cracked it for my son, I want to share what I did with you...
Comment 'Guide' and I will DM you a link to my step-by-step guide.

 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,28,28,0,100,28,0,0,0,0,0,0,0,0,5d60dc08c816c97e599c14b2c4f172c1ecb25a2e7fe123770eb05962ffb129ea
108778868994125_122171687198027157,2024-05-02,"8 reminders you need to hear today as a divorced mum:
1. Life is too short to let loneliness drive you back to toxic people
2. Sometimes what didn't work out for you really worked out for you
3. Life is to be lived - not controlled
4. Change is scary, but so is staying the same
5. Some people judge you for changing, other people celebrate you for growing - choose your circle wisely
6. Love yourself instead of loving the idea of other people loving you
7. Just because it's taking time doesn't mean it's not happening
8. Your whole life can change in one year, make this the one

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,48,47,0,100,47,0,1,3,0,0,0,0,0,e4f40055669380afae02e9b676b76ca274581942e97a80d7fa24c35127cbb6c8
108778868994125_122171508722027157,2024-05-01,"I feel overwhelmed with thoughts of how unfair this is & how angry/hurt I am that our marriage has ended while I am left picking up the pieces of our lives and making sure the kids are okay…

If this is you, I have been there…

Processing your grief and anger is the best way to make sure you and your kids get through this…

Comment ‘GUIDE’ for my free guide on how to do this. 

From one separated mum to another, you’ve got this 💖💪

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,28,28,0,100,28,0,0,0,0,0,0,0,0,45007a6413faf6151e82683d92d1bd915033763a7f920bafd32d32917940a5ab
108778868994125_122170855142027157,2024-04-27,"Going to kids parties and seeing all the happy mums while you are crippled by sadness and anxiety surrounding your divorce can feel like the hardest and most lonely feeling in the world. 

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,37,37,0,100,37,0,0,0,0,0,0,0,0,fac1dc58f1a943a2d67a5dfd02200c822949aa23b71a63abcad40af3a64f8513
108778868994125_122169672962027157,2024-04-21,"Divorce taught me that nothing in life is guaranteed. Your life can really change overnight.

But your greatest pain can also be your greatest teacher. It taught me to appreciate the little moments of joy because they are really the big moments.

Your children will see the pain you’re in turn in to learning and growth, and this will also be their learning and growth.

You’ve got this!

 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",multi_share,15,15,0,100,15,0,0,0,0,0,0,0,0,aeedc594783e55d1cc235ef01ddc986f7c0269684c684e6eac64994f3bc09891
108778868994125_122169282668027157,2024-04-19,"Do you ever look at your friends who are in healthy relationships with their family together and feel sad that your children don’t have that?

I suffered with this for years!

 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents #mumanxiety #mumguilt #mumguiltisreal",photo,28,28,0,100,28,0,0,0,0,0,0,0,0,36d66fa8edfda98ffaf37d0f5de265c2628618adac821f753d5bbc24308ec36e
108778868994125_122169122588027157,2024-04-18,"I HOPE MY DAUGHTER DOESN'T ACCEPT THINGS I'VE ACCEPTED, THAT SHE KNOWS HER WORTH FROM THE START AND KNOWS SHE ALWAYS HAS ME IN HER CORNER.

 #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,33,33,0,100,33,0,1,1,0,0,0,0,0,5b15f9a36e2b1b4721de9c7bbd451b0f53cc1845dee2bbfe5411d00392c40663
108778868994125_122168572442027157,2024-04-15,"I'm Hannah. A therapist and separated mum. I have 2 children - a boy and a girl. I am passionate about helping separated mums like me to have children who THRIVE!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,17,17,0,100,17,0,0,0,0,0,0,0,0,570aed7442fd1da2423cb1efb5b5244b725e3af123e5042d543838d2848e83c4
108778868994125_122168423684027157,2024-04-14,"When I was a kid and my parents got divorced, I witnessed my Mum transformed... She became dedicated to self-care, self-development and healing herself... I watched her get a job, find herself, meet her own needs and thrive as a parent and human... There were definitely hard times, lots of tears and I was hurting over my parents divorce ... But one of the best gifts my parents divorce gave me, was seeing my mum thrive into the person she is today, and teach me about self-care, self-love, boundaries and what healthy relationship looks like. To all of the separated Mum's out there, remember that your strength and the lessons you teach your children through your divorce, can far outweigh the negatives! Keep going! You've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,59,57,0,100,57,0,2,1,0,0,0,0,0,8eb0af18d1cd002a4391ab150333d6f6927efda50159ff2a4925c7bad78ec338
108778868994125_122168203028027157,2024-04-13,"4 ways to respond when your child cries or is upset about your divorce/separation ... 1. Name it! You're crying, I can see how upset you are about Dad and I separating. This shows your child you have seen them, you understand what they are feeling and you care... 2. Normalise it. It's good to let your tears out when you feel this way. This shows your child that it is okay to feel what they feel. This makes them feel safe to express their emotions around you ... 3. Empathise. It is so hard and upsetting for you that things are changing, I can see how much you're hurting. This shows your child that you not only hear and understand them, but you care about their experience ... 4. Offer help. I wonder how I can help you through this? A hug? Listen? Something else? This shows your child that you are on their team, they are not alone in this sadness and that they have your support. You've got this!

#divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",album,50,50,0,100,50,0,0,5,0,0,0,0,0,681851c4799c356f0bab8f7db7ba3018628321cefe1a6ec9de9ced8b53bb0538
108778868994125_122168047304027157,2024-04-12,"Let your divorce be something that eventually transforms you, and in turn transforms your children. 

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,26,26,0,100,26,0,0,0,0,0,0,0,0,eb841d4977cdb322fb9845107ca03e247565a6f59df0a235bcbff0fbe7c811d1
108778868994125_122167584272027157,2024-04-10,"Single mums: ‘I feel like I failed my kids by not being able to give them a 2 parent home.'
If you feel like this I need you to know that the science says your child only needs one secure attachment figure in order to thrive.'

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,31,31,0,100,31,0,0,0,0,0,0,0,0,febd0b7767d5e8f987d711a88fc1e5252dd6612460bf8d0e583342f68e3732d4
108778868994125_122167327100027157,2024-04-09,"One simple thing my Mum did to make me feel less anxious when my parents were divorcing: ""Growing up everything was pretty good for me until my parents separated when I was 7. Suddenly it felt like everything changed...nothing was certain… My Mum tried to cheer me up and make me feel better, but nothing worked. I always felt anxious.
Until this happened: One day my Mum had a chat with me about what was important in my life.
She said she could see that so much of what was important in my life had changed... She asked me how we could create certainty around things that I didn't want to change ... and then something amazing happened! ... We made routines together that created certainty around the things that mattered in my world. Like having structure around when I saw both my parents and making sure I had all my favourite things in the right home at the right time ... From that moment on, everything changed for me. I wasn't consumed by anxiety and could focus on the things that made me happy. I don't know how my Mum knew I needed this but it made all the difference!"" ""Our children need to know we value the things that are important to them, and that we can work together to create structure around these things, so they have certainty around them... Leaving them free of anxiety, so they can enjoy their childhood."" Download my FREE coaching workbook for separated mums, that gives you all the tools you need to create certainty in your child's life after and during your divorce/separation. Comment ‘Guide’ and I will DM you a link.

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,22,22,0,100,22,0,0,0,0,0,0,0,0,f4b63bc5935c669c0db8eb70adf65a3a705aa033290fd7e6253e92e9b15b2118
108778868994125_122166926996027157,2024-04-07,"If you snap at your child because you're stressed by everything that motherhood brings, as well as the pressures of divorce... That's normal! You are human and you won't get it right all of the time. What matters is that you make a repair with your child... I am a therapist and a divorced Mum of 2, and this is what I say to repair with my children... I am sorry for speaking in a cross voice. I have my own big feelings and they came out in a cross voice. I am sure that felt scary and sad for you. It's not your fault. I love you so much. Remember: Good mums don't get it right all the time... Good mums repair!""

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,16,16,0,100,16,0,0,0,0,0,0,0,0,5dede96f6fe4e09824b6716e1ef6a6a03dc9a00aa47aa43740f47f924083154e
108778868994125_122166658604027157,2024-04-06,"Want to give your child the best life as a separated mum, without the constant anxiety!?... Comment 'Guide' for my free guide on how to get it right for your kids. You've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,16,16,0,100,16,0,0,0,0,0,0,0,0,5676369f378163aea41bf83ff607d5ebafca3fcf50381392010be0c4346f4804
108778868994125_122166104882027157,2024-04-03,"Whenever I was struggling with my parents separation, this is what my mum said to me... Today is not forever. I developed resilience knowing that difficult feelings pass with time. I'm here. The non-judgmental presence helped me feel secure in sharing and processing our feelings. It's okay to feel not okay. Normalising emotions removed feelings of guilt and self-shame. In the darkness, look for the stars. Finding positives and things to appreciate gave me reasons to carry on. I had this happen to me... Knowing that we have felt similar feelings helped me be more self-compassionate and feel understood. Focus on right now. Staying grounded in the now helped me to calm my nervous system."" Sometimes all we need is someone to sit next to us, in the silence. Download my FREE coaching guide to get expert advice on giving your children what they need to thrive during divorce. Comment ‘guide’

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,45,43,0,100,43,0,1,2,0,0,0,0,0,5663f46996f8d0c660e7691688543f3528e24f5ccfeb9810b77c08cb74b5cf3b
108778868994125_122165890196027157,2024-04-02,"From one separated mum to another, you've got this and your kids have got this too!

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",photo,25,25,0,100,25,0,0,0,0,0,0,0,0,7c4ca000982d6bd3385dcee10a2ac3093199d1c81a1df8899019d56071892ae9
108778868994125_122165434736027157,2024-03-31,"The hardest role a woman can play is being the best Mum she can be, when her world and relationship is falling apart... Get yourself the guidance you need to get through this sadness... Comment 'guide' and I will DM you a free workbook... From one separated mum to another, you've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,18,18,0,100,18,0,0,0,0,0,0,0,0,c66ea913677f0e6fea499cad86ff443daddb9d3f3c518c765a23ad2065843c3d
108778868994125_122165278466027157,2024-03-30,"During my divorce, I lay awake at night full of anxiety over how it was going to affect my children... I was so desperate to make things okay for them, to make all of the uncertainty and upset go away for them ... I am now a therapist and have taken everything I have learnt and put it together for mums just like you... Download my FREE coaching guide to get expert advice on giving your children what they need to thrive during divorce. Comment ‘guide’ for the link.",multi_share,47,47,0,100,47,0,2,0,0,3,0,0,0,20563c06f1e8c4e9b424436c2c730571acf5de2fa51188b6b24ae7fc7775ed09
108778868994125_122164915190027157,2024-03-28,"From one separated mum to another, you've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,24,24,0,100,24,0,0,1,0,0,0,0,0,fd477338173e2f1e06d5335aa7e1e5f6d3d0a812f67eb44d24b8509323afc1d6
108778868994125_122164710656027157,2024-03-27,"I read a quote that said: 'never let your storm get your kids wet'

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,31,31,0,100,31,0,0,0,0,0,0,0,0,756e1eae7ec9fb29a1bd8fcfe4d265619bc592ce83feb38a4446f9b69807de61
108778868994125_122164518500027157,2024-03-26,"The key things you need to do, to process your sadness around your divorce so your kids can too… 
Comment ‘guide’ and I will send you a free step-by-step guide.

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,13,13,0,100,13,0,0,0,0,0,0,0,0,14adcecb4ed2df302fcb626cde2837cc38b9608c8e30321a067174e2a0f07c36
